Count,Cond
206,Primary
10,Primary
1146,Primary
996,Primary
1902,Primary
1315,Primary
130,Planktonic
349,Planktonic
425,Planktonic
626,Planktonic
287,Planktonic
256,Planktonic
641,Secondary
158,Secondary
1011,Secondary
1837,Secondary
885,Secondary
807,Secondary
